id_registro,fecha,hora_emision,canal,grupo_canal,programa,tipo_programa,marca,producto,anunciante,categoria,duracion_emitida_seg,duracion_contratada_seg,version_comercial,tipo_bloque,posicion_bloque,franja_horaria,auditor,metodo_deteccion,estado_incidencia,codigo_incidencia,nivel_prioridad,observaciones
LOG-001,2026-07-20,20:15:30,Latina,TVA,Arriba Mi Gente,Magazine,BCP,Cuenta Sueldo,Banco de Crédito del Perú,Servicios Financieros,30,30,30s,Comercial,2 de 8,Prime Time,AUD-014,Automática + Manual,Emitido OK,N/A,Baja,"Emisión conforme a la pauta."
LOG-002,2026-07-20,20:42:10,América TV,TVA,Al Fondo Hay Sitio,Ficción,Inca Kola,Gaseosa Original,Arca Continental Lindley,Bebidas,15,30,30s,Comercial,5 de 9,Prime Time,AUD-009,Manual,Comercial Cortado,INC-CC,Alta,"El comercial fue interrumpido antes de finalizar."
LOG-003,2026-07-20,21:05:00,ATV,TVA,Magaly TV La Firme,Espectáculos,Mibanco,Crédito PyME,Credicorp,Servicios Financieros,30,30,30s,Comercial,1 de 7,Prime Time,AUD-011,Automática,Emitido OK,N/A,Baja,"Sin observaciones."
LOG-004,2026-07-20,15:20:45,Panamericana,TVA,24 Horas Mediodía,Noticias,Plaza Vea,Campaña Ahorro,Supermercados Peruanos S.A.,Retail,30,30,30s,Comercial,4 de 6,Regular,AUD-005,Automática + Manual,Fuera de Franja,INC-FF,Media,"La pauta debía emitirse en Prime Time."
LOG-005,2026-07-20,22:10:12,TV Perú,TVP,El Reportaje del Perú,Documental,Entel,Internet Hogar,Entel Perú,Telecomunicaciones,20,20,20s,Comercial,3 de 5,Trasnoche,AUD-002,Manual,Caída de Señal,INC-CS,Crítica,"Pérdida parcial de video durante aproximadamente 6 segundos."
LOG-006,2026-07-20,19:18:42,Latina,TVA,Latina Noticias,Noticias,Ripley,Campaña Invierno,Ripley S.A.,Retail,30,30,30s,Comercial,6 de 10,Prime Time,AUD-007,Automática,Emitido OK,N/A,Baja,"Emisión correcta."
LOG-007,2026-07-20,19:54:16,América TV,TVA,Esto es Guerra,Entretenimiento,Claro,Portabilidad,Claro Perú,Telecomunicaciones,30,30,30s,Comercial,3 de 8,Prime Time,AUD-012,Automática + Manual,Emitido OK,N/A,Baja,"Sin incidencias."
LOG-008,2026-07-20,21:32:51,ATV,TVA,ATV Noticias,Noticias,Scotiabank,Préstamo Personal,Scotiabank Perú,Servicios Financieros,15,15,15s,Comercial,7 de 9,Prime Time,AUD-003,Automática,Emitido OK,N/A,Baja,"Registro validado."
LOG-009,2026-07-20,18:45:27,Panamericana,TVA,Buenas Nuevas,Magazine,Tottus,Precios Bajos,Falabella Retail,Retail,30,30,30s,Comercial,2 de 5,Tarde,AUD-006,Manual,Emitido OK,N/A,Baja,"Emisión conforme."
LOG-010,2026-07-20,21:58:05,TV Perú,TVP,Sucedió en el Perú,Cultural,EsSalud,Campaña Preventiva,EsSalud,Institucional,20,20,20s,Institucional,1 de 3,Prime Time,AUD-015,Manual,Emitido OK,N/A,Baja,"Campaña institucional emitida correctamente."
LOG-011,2026-07-20,20:08:11,Latina,TVA,Arriba Mi Gente,Magazine,Coca-Cola,Sin Azúcar,Coca-Cola Perú,Bebidas,30,30,30s,Comercial,1 de 8,Prime Time,AUD-004,Automática,Error de Versión,INC-EV,Media,"Se emitió una versión distinta a la contratada."
LOG-012,2026-07-20,22:44:39,América TV,TVA,Cuarto Poder,Periodístico,Interbank,Cuenta Simple,Interbank,Servicios Financieros,30,30,30s,Comercial,4 de 7,Trasnoche, AUD-001,Automática + Manual,Emitido OK,N/A,Baja,"Registro verificado."
LOG-013,2026-07-20,06:18:24,Latina,TVA,Latina Noticias Mañana,Noticias,Alicorp,Aceite Primor,Alicorp S.A.A.,Consumo Masivo,20,20,20s,Comercial,1 de 6,Mañana,AUD-003,Automática,Emitido OK,N/A,Baja,Emisión conforme.
LOG-014,2026-07-20,06:45:51,América TV,TVA,América Noticias,Noticias,Gloria,Leche Evaporada,Gloria S.A.,Alimentos,30,30,30s,Comercial,4 de 8,Mañana,AUD-008,Automática + Manual,Emitido OK,N/A,Baja,Sin observaciones.
LOG-015,2026-07-20,07:12:37,ATV,TVA,ATV Noticias,Noticias,Inkafarma,Medicamentos,InRetail Pharma,Farmacias,15,15,15s,Comercial,2 de 5,Mañana,AUD-012,Automática,Emitido OK,N/A,Baja,Registro validado.
LOG-016,2026-07-20,08:01:13,Panamericana,TVA,Buenos Días Perú,Noticias,Metro,Ofertas Semanales,Cencosud,Retail,30,30,30s,Comercial,5 de 7,Mañana,AUD-005,Manual,Emitido OK,N/A,Baja,Emisión correcta.
LOG-017,2026-07-20,09:34:48,TV Perú,TVP,Aprendo en Casa,Educativo,Qali Warma,Programa Social,MIDIS,Institucional,20,20,20s,Institucional,1 de 3,Mañana,AUD-014,Manual,Emitido OK,N/A,Baja,Campaña institucional.
LOG-018,2026-07-20,10:22:16,Latina,TVA,Mujer Casos de la Vida Real,Ficción,Claro,Fibra Óptica,Claro Perú,Telecomunicaciones,30,30,30s,Comercial,6 de 9,Mañana,AUD-011,Automática + Manual,Emitido OK,N/A,Baja,Sin incidencias.
LOG-019,2026-07-20,11:17:05,América TV,TVA,América Hoy,Magazine,Entel,Postpago,Entel Perú,Telecomunicaciones,30,30,30s,Comercial,3 de 8,Mañana,AUD-009,Automática,Emitido OK,N/A,Baja,Registro correcto.
LOG-020,2026-07-20,12:08:43,ATV,TVA,ATV Edición Mediodía,Noticias,BCP,Yape,Banco de Crédito del Perú,Servicios Financieros,20,20,20s,Comercial,2 de 6,Tarde,AUD-002,Automática,Emitido OK,N/A,Baja,Sin observaciones.
LOG-021,2026-07-20,12:55:19,Panamericana,TVA,24 Horas Mediodía,Noticias,Makro,Mayorista,Makro Supermayorista,Retail,30,30,30s,Comercial,4 de 7,Tarde,AUD-001,Manual,Emitido OK,N/A,Baja,Emisión conforme.
